Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,293487,"Shize & Nir","2016-05-02 21:18:23",0.82907,298,"medial,sushize"
2,296065,kg_joi,"2016-05-02 13:45:50",0.82906,35,pseprop
3,286451,"#1 Leustagos","2016-05-02 22:55:19",0.82853,227,"davutpolat,efimov,jiweiliu,kazanova,kyazuki,leustagos,mmueller,raddar,stasg7,titericz,utility"
4,290568,"Why so noise?","2016-05-02 22:55:03",0.82846,195,"bibimounemohamed,bishwarup,brandenkmurray"
5,314414,"Michael Hartman","2016-05-02 20:58:14",0.82834,22,zeroblue
6,297690,"Noah Xiao @ Accenture","2016-05-02 23:19:54",0.82834,44,noahxiao
7,285668,"Rolling Stones (Can’t Get No [Customer] Satisfaction)","2016-05-02 23:33:00",0.82829,198,"breakfastpirate,kabrapratik28,mathurinache,spraveengupta"
8,313788,"Matt Motoki","2016-05-02 19:35:19",0.82824,30,mmotoki
9,288773,"no one","2016-05-02 14:56:29",0.82823,54,dmytrolystopad
10,310516,"Bang Nguyen","2016-05-01 16:08:40",0.82818,35,bangnk
11,297543,"DataGeek, Kele XU & GDA","2016-05-02 23:23:01",0.82815,227,"chinta,kelexu,thakurrajanand"
12,286685,uis,"2016-05-02 21:43:08",0.82811,252,girmak
13,287891,Ouranos,"2016-05-02 23:48:03",0.82808,229,ouranos
14,314502,"g | a","2016-05-02 18:00:11",0.82801,37,"ashhafez,gmilosev"
15,288989,Kide,"2016-05-01 15:46:40",0.82799,194,kide1123
16,314801,PradeepHegde,"2016-05-02 23:01:45",0.82798,19,phegde
17,288151,scnndl,"2016-05-02 16:21:43",0.82795,25,scnndl
18,307639,"Niels de Brabander","2016-04-25 06:18:55",0.82793,25,nopenopenope
19,289815,"Fit Club Tampere","2016-05-02 18:17:42",0.82792,43,"jjuhannes,themasi,tuomastik"
20,298346,"Danijel Kivaranovic","2016-04-17 17:07:03",0.82792,36,danijelk
21,312007,Trottefox,"2016-05-02 05:39:38",0.82790,52,trottefox
22,306115,"Pedro Bernardo","2016-04-21 15:52:43",0.82789,31,pedromb
23,296710,"Ben & Josef","2016-05-02 18:52:11",0.82788,14,"benjaminbossan,joseffeigl"
24,295397,wajz,"2016-03-29 21:20:44",0.82785,37,jzaratie
25,304518,robf26,"2016-04-09 15:44:09",0.82785,5,robfrank26
26,288336,AlexeyTrofimov,"2016-05-02 18:24:16",0.82784,147,funkindy
27,315088,tks,"2016-05-02 19:06:35",0.82783,4,tks0123456789
28,305203,rokh,"2016-04-26 05:58:52",0.82780,14,khanenko
29,308174,fugusuki,"2016-05-02 02:38:33",0.82779,24,fugusuki
30,288864,"Kim Seonghyeon","2016-04-06 05:17:09",0.82778,25,rosinality
31,291075,"Iván Gómez Villafañe","2016-04-13 16:25:11",0.82778,9,ivangomezv
32,290659,DanielT,"2016-03-20 02:45:10",0.82775,9,dantee
33,305137,piotrszul,"2016-05-02 09:14:35",0.82775,11,piotrszul
34,295800,wpppj,"2016-04-22 13:39:42",0.82774,17,wpppj001
35,300974,JúlioBrettas,"2016-05-02 04:49:23",0.82771,88,jbrettas
36,312576,"Victor Mayrink","2016-04-25 18:22:16",0.82769,3,victormayrink
37,294284,OfirMarom,"2016-05-02 19:46:25",0.82768,65,ofirmarom
38,294790,"One Old Dog","2016-05-02 11:20:19",0.82767,176,dslate
39,311596,Nian,"2016-05-02 12:52:24",0.82767,38,nianxue
40,296331,zembrzuski,"2016-04-20 18:15:45",0.82766,75,rodrigozembrzuski
41,315351,AniketShah,"2016-04-25 20:26:54",0.82766,4,an1ket
42,312175,"James Trotman","2016-05-02 22:01:27",0.82765,44,jtrotman
43,285487,Icedragon,"2016-05-02 16:39:16",0.82765,32,icedragon
44,294619,toshi_k,"2016-05-01 11:18:24",0.82764,78,toshik
45,314022,dune_dweller,"2016-04-24 02:56:03",0.82761,4,dvasyukova
46,296598,AlexRu,"2016-04-07 04:10:07",0.82761,41,rublinetsky
47,295856,"Achin Jindal","2016-03-30 14:17:54",0.82761,13,achinjindall
48,286832,TusharGupta,"2016-05-01 06:47:50",0.82760,50,bunny01
49,286089,"Youliang Yu","2016-05-02 01:16:19",0.82760,58,aviatorx
50,289308,"Aldente & Qingchen & Menno","2016-05-02 15:59:24",0.82760,95,"aldente,mennotaanman,qwang88"
51,294221,ohnabe,"2016-05-02 23:53:11",0.82760,54,takwat
52,314821,ChrisW,"2016-05-02 19:47:49",0.82760,23,chrisw1
53,311782,geodex,"2016-04-21 04:53:14",0.82759,11,tektonik
54,309747,"الحوت الأبيض","2016-05-02 13:28:51",0.82758,85,"aliajouz,karamallah"
55,298263,"Edvinas Drevinskas","2016-04-04 12:41:39",0.82758,31,pigeon
56,299918,src4sd,"2016-04-18 02:12:18",0.82758,25,src4sd
57,301868,hairykrishna,"2016-04-11 10:44:43",0.82758,11,hairykrishna
