Loan_ID,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status (Approved),Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Property_Area_Semiurban,Property_Area_Urban,Dependents_1,Dependents_2,Dependents_3+
LP001002,No,0.07048855905998763,0.0,0.17221418234442834,30.0,1.0,Y,False,True,True,False,True,False,False,True,False,False,False
LP001003,No,0.05482993197278912,0.03619171046631627,0.17221418234442834,30.0,1.0,N,False,True,False,True,True,False,False,False,True,False,False
LP001005,Yes,0.0352504638218924,0.0,0.0824891461649783,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,False,False
LP001006,No,0.030092764378478663,0.05659154726762186,0.1606367583212735,30.0,1.0,Y,False,True,False,True,False,True,False,True,False,False,False
LP001008,No,0.07235621521335807,0.0,0.19102749638205496,30.0,1.0,Y,False,True,True,False,True,False,False,True,False,False,False
LP001011,Yes,0.06514533085961657,0.100703194374445,0.3733719247467438,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,True,False
LP001013,No,0.027000618429189858,0.03638370893032856,0.12445730824891461,30.0,1.0,Y,False,True,False,True,False,True,False,True,False,False,False
LP001014,No,0.03569573283858998,0.060095519235846113,0.21562952243125902,30.0,0.0,N,False,True,False,True,True,False,True,False,False,False,True
LP001018,No,0.047693259121830554,0.03662370701034392,0.23010130246020258,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,True,False
LP001020,No,0.15696969696969698,0.2632298941608467,0.49204052098408096,30.0,1.0,N,False,True,False,True,True,False,True,False,True,False,False
LP001024,No,0.037724180581323444,0.01679986560107519,0.08827785817655572,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,True,False
LP001027,,0.02906617192331478,0.04415964672282622,0.14471780028943557,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,True,False
LP001028,No,0.03615337043908473,0.19454244366045073,0.276410998552822,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,True,False
LP001029,No,0.021063698206555348,0.0681594547243622,0.15195369030390735,30.0,1.0,N,False,True,True,False,True,False,False,False,False,False,False
LP001030,No,0.014211502782931354,0.026063791489668083,0.011577424023154847,10.0,1.0,Y,False,True,False,True,True,False,False,True,False,True,False
LP001032,No,0.05936920222634509,0.0,0.16787264833574528,30.0,1.0,Y,False,True,True,False,True,False,False,True,False,False,False
LP001034,No,0.04262213976499691,0.0,0.13169319826338638,20.0,0.0,Y,False,True,True,False,False,True,False,True,True,False,False
LP001036,No,0.041558441558441565,0.0,0.09696092619392185,30.0,0.0,N,True,False,True,False,True,False,False,True,False,False,False
LP001038,No,0.05858998144712431,0.0,0.17945007235890012,30.0,1.0,N,False,True,False,True,False,True,False,False,False,False,False
LP001041,,0.0303030303030303,0.08399932800537596,0.15340086830680172,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,False,False
LP001043,No,0.09288806431663575,0.0,0.1374819102749638,30.0,0.0,N,False,True,False,True,False,True,False,True,False,False,False
LP001046,No,0.07179962894248608,0.13499892000863994,0.4428364688856729,30.0,1.0,Y,False,True,False,True,True,False,False,True,True,False,False
LP001047,No,0.0303030303030303,0.045863633090935274,0.15484804630969606,30.0,0.0,N,False,True,False,True,False,True,True,False,False,False,False
LP001050,No,0.03976499690785405,0.04600763193894449,0.14905933429811866,30.0,0.0,N,False,True,False,True,False,True,False,False,False,True,False
LP001052,,0.0441187384044527,0.07019943840449276,0.20549927641099852,30.0,0.0,N,False,True,False,True,True,False,True,False,True,False,False
LP001066,Yes,0.11638837353123067,0.0,0.26338639652677276,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,False
LP001068,No,0.032764378478664195,0.05407156742746058,0.16353111432706222,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,False
LP001073,No,0.050414347557204704,0.024959800321597427,0.14616497829232994,30.0,1.0,Y,False,True,False,True,False,True,False,True,False,True,False
LP001086,No,0.01598021026592455,0.0,0.03762662807525326,30.0,1.0,N,False,True,True,False,False,True,False,True,False,False,False
LP001087,,0.04452690166975882,0.049991600067199465,0.1606367583212735,30.0,1.0,Y,True,False,True,False,True,False,True,False,False,True,False
LP001091,,0.049672232529375394,0.08085535315717474,0.2778581765557163,30.0,0.0,N,False,True,False,True,True,False,False,True,True,False,False
LP001095,No,0.03731601731601732,0.0,0.09406657018813314,30.0,1.0,N,False,True,True,False,True,False,False,True,False,False,False
LP001097,Yes,0.05617810760667904,0.0,0.1403762662807525,30.0,1.0,N,False,True,True,False,True,False,False,False,True,False,False
LP001098,No,0.041434755720470014,0.04000767993856049,0.15195369030390735,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,False
LP001100,No,0.15275200989486704,0.07199942400460796,0.4500723589001447,30.0,1.0,N,False,True,True,False,True,False,False,False,False,False,True
LP001106,No,0.026283240568954855,0.04960760313917489,0.17221418234442834,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,False,False
LP001109,No,0.02075448361162647,0.03191974464204286,0.13169319826338638,30.0,0.0,N,False,True,False,True,True,False,False,True,False,False,False
LP001112,No,0.04350030921459493,0.03501571987424101,0.19536903039073802,30.0,1.0,Y,True,False,False,True,True,False,True,False,False,False,False
LP001114,No,0.049672232529375394,0.17303861569107448,0.2532561505065123,30.0,1.0,Y,False,True,True,False,True,False,False,True,False,False,False
LP001116,No,0.04450216450216451,0.04003167974656203,0.14616497829232994,30.0,1.0,Y,False,True,True,False,False,True,True,False,False,False,False
LP001119,No,0.04267161410018554,0.0,0.10274963820549927,30.0,1.0,N,False,True,True,False,True,False,False,True,False,False,False
LP001120,No,0.020408163265306124,0.029111767105863152,0.05499276410998552,30.0,1.0,Y,False,True,True,False,True,False,False,True,False,False,False
LP001123,No,0.027829313543599257,0.0,0.0955137481910275,30.0,0.0,Y,False,True,False,True,True,False,False,True,False,False,False
LP001131,No,0.04688930117501547,0.056063551491588065,0.18089725036179446,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,False
LP001136,Yes,0.056215213358070504,0.0,0.12590448625180894,30.0,1.0,Y,False,True,False,True,False,True,False,True,False,False,False
LP001137,No,0.04032158317872604,0.0,0.11432706222865412,30.0,1.0,Y,True,False,True,False,True,False,False,True,False,False,False
LP001138,No,0.06801484230055659,0.0,0.05065123010130246,30.0,1.0,Y,False,True,False,True,True,False,False,True,True,False,False
LP001144,No,0.07014223871366729,0.0,0.19536903039073802,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,False,False
LP001146,No,0.03085961657390229,0.0825593395252838,0.1606367583212735,30.0,0.0,N,True,False,False,True,True,False,False,True,False,False,False
LP001151,No,0.04761904761904762,0.05459956320349437,0.19536903039073802,30.0,1.0,Y,True,False,True,False,True,False,True,False,False,False,False
LP001155,No,0.021991341991341992,0.039455684354525164,0.13169319826338638,30.0,1.0,Y,True,False,False,True,False,True,True,False,False,False,False
LP001157,No,0.03631416202844775,0.0,0.1606367583212735,30.0,1.0,Y,True,False,True,False,True,False,True,False,False,False,False
LP001164,No,0.050463821892393325,0.0,0.14905933429811866,30.0,1.0,N,True,False,True,False,True,False,True,False,False,False,False
LP001179,No,0.055238095238095246,0.0,0.18089725036179446,30.0,1.0,N,False,True,False,True,True,False,False,True,False,True,False
LP001186,Yes,0.14038342609771182,0.0,0.4008683068017366,30.0,0.0,N,True,False,False,True,True,False,False,True,True,False,False
LP001194,No,0.03163883735312307,0.0280077759377925,0.12735166425470332,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,True,False
LP001195,No,0.02451453308596166,0.038183694530443756,0.12590448625180894,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,False
LP001197,No,0.03977736549165121,0.05279957760337917,0.18234442836468884,30.0,1.0,N,False,True,False,True,True,False,False,False,False,False,False
LP001198,No,0.09808286951144093,0.05399956800345597,0.24746743849493485,30.0,1.0,Y,False,True,False,True,True,False,False,True,True,False,False
LP001199,No,0.03966604823747681,0.06861545107639139,0.19536903039073802,30.0,1.0,Y,False,True,False,True,False,True,False,True,False,True,False
LP001205,No,0.02906617192331478,0.09110327117383062,0.1606367583212735,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,False,False
LP001206,No,0.0356091527520099,0.0,0.130246020260492,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,False,True
LP001207,Yes,0.030414347557204704,0.08277533779729762,0.22575976845151952,15.0,0.0,N,False,True,False,True,False,True,False,False,False,False,False
LP001213,No,0.059307359307359316,0.0,0.17221418234442834,30.0,0.0,N,False,True,False,True,True,False,False,False,True,False,False
LP001222,No,0.049672232529375394,0.0,0.15484804630969606,30.0,0.0,N,True,False,True,False,True,False,True,False,False,False,False
LP001225,No,0.06896722325293754,0.11027911776705786,0.3603473227206946,30.0,1.0,N,False,True,False,True,True,False,True,False,False,False,False
LP001228,No,0.037724180581323444,0.05409556723546212,0.16931982633863962,15.0,0.0,N,False,True,True,False,False,True,False,True,False,False,False
LP001233,No,0.1311069882498454,0.0,0.4384949348769898,30.0,1.0,Y,False,True,False,True,True,False,False,True,True,False,False
LP001238,Yes,0.08596165739022882,0.0,0.16787264833574528,5.0,1.0,Y,False,True,False,True,False,True,False,True,False,False,True
LP001241,No,0.05132962275819419,0.0,0.18379160636758318,30.0,0.0,N,True,False,True,False,True,False,True,False,False,False,False
LP001243,No,0.037823129251700685,0.07358341133270933,0.23589001447178,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,False,False
LP001245,Yes,0.021335807050092765,0.044999640002879975,0.12735166425470332,30.0,1.0,Y,False,True,False,True,False,True,True,False,False,True,False
LP001248,No,0.041434755720470014,0.0,0.10419681620839363,25.0,1.0,Y,False,True,True,False,True,False,True,False,False,False,False
LP001250,No,0.05695732838589982,0.0,0.12445730824891461,30.0,0.0,N,False,True,False,True,False,True,True,False,False,False,True
LP001253,Yes,0.06327767470624614,0.042575659394724845,0.2575976845151953,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,True
LP001255,No,0.04452690166975882,0.0,0.150506512301013,40.0,1.0,N,False,True,True,False,True,False,False,True,False,False,False
LP001256,No,0.04452690166975882,0.11399908800729594,0.24167872648335742,30.0,1.0,N,False,True,True,False,True,False,False,True,False,False,False
LP001259,Yes,0.010513296227581943,0.07252741978064176,0.14616497829232994,30.0,1.0,N,False,True,False,True,True,False,False,True,True,False,False
LP001263,No,0.03731601731601732,0.09599923200614395,0.24746743849493485,25.0,0.0,N,False,True,False,True,True,False,True,False,False,False,True
LP001264,Yes,0.03936920222634509,0.05198358413132695,0.17510853835021706,30.0,0.0,Y,False,True,False,True,False,True,True,False,False,False,True
LP001265,No,0.04571428571428572,0.0,0.14761215629522428,30.0,1.0,Y,True,False,True,False,True,False,True,False,False,False,False
LP001266,Yes,0.02776747062461348,0.0,0.17221418234442834,30.0,1.0,Y,False,True,False,True,True,False,True,False,True,False,False
LP001267,No,0.01518862090290662,0.04514363885088919,0.22865412445730823,30.0,1.0,N,True,False,False,True,True,False,False,True,False,True,False
LP001273,No,0.07235621521335807,0.05399956800345597,0.3704775687409551,30.0,0.0,N,False,True,False,True,True,False,True,False,False,False,False
LP001275,No,0.04747062461348176,0.0,0.059334298118668596,20.0,1.0,Y,False,True,False,True,True,False,False,True,True,False,False
LP001279,No,0.02740878169449598,0.06074351405188758,0.18379160636758318,30.0,1.0,Y,False,True,True,False,True,False,True,False,False,False,False
LP001280,No,0.03936920222634509,0.047999616003071975,0.130246020260492,30.0,0.0,Y,False,True,False,True,False,True,True,False,False,True,False
LP001282,No,0.02906617192331478,0.05083159334725322,0.1374819102749638,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,False
LP001289,No,0.10409400123685839,0.0,0.29088277858176553,30.0,1.0,Y,False,True,True,False,True,False,False,True,False,False,False
LP001310,No,0.06858379715522572,0.10000719994240047,0.24023154848046308,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,False
LP001316,No,0.03473098330241188,0.06959944320445437,0.1765557163531114,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,False
LP001318,No,0.07544836116264687,0.1356949144406845,0.25904486251808967,15.0,1.0,Y,False,True,False,True,True,False,True,False,False,True,False
LP001319,No,0.03862708719851578,0.0436796505627955,0.10419681620839363,30.0,1.0,Y,False,True,False,True,False,True,False,True,False,True,False
LP001322,No,0.04926406926406927,0.0,0.16353111432706222,30.0,1.0,Y,False,True,True,False,True,False,True,False,False,False,False
LP001325,No,0.04291898577612864,0.0,0.023154848046309698,10.0,1.0,Y,False,True,True,False,False,True,True,False,False,False,False
LP001326,,0.08202844774273346,0.0,0.17221418234442834,30.0,0.0,N,False,True,True,False,True,False,False,True,False,False,False
LP001327,No,0.028868274582560298,0.05524755801953585,0.18523878437047755,30.0,1.0,Y,True,False,False,True,True,False,True,False,False,False,False
LP001333,No,0.0225974025974026,0.02392780857753138,0.059334298118668596,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,False
LP001334,No,0.04994434137291281,0.0,0.15340086830680172,15.0,1.0,Y,False,True,False,True,False,True,True,False,False,False,False
LP001343,No,0.01990105132962276,0.08498332013343893,0.1765557163531114,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,False
LP001345,No,0.05118119975262833,0.07831137350901193,0.17945007235890012,15.0,1.0,Y,False,True,False,True,False,True,False,True,False,True,False
LP001349,No,0.05804576376004948,0.09134326925384598,0.20549927641099852,30.0,1.0,Y,False,True,True,False,True,False,True,False,False,False,False
LP001350,No,0.16697588126159554,0.0,0.17221418234442834,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,False,True
LP001356,No,0.05568336425479283,0.08599131206950344,0.17221418234442834,30.0,1.0,Y,False,True,False,True,True,False,True,False,False,False,False
LP001357,No,0.04534322820037106,0.018095855233158136,0.21852387843704774,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,False,True
LP001367,No,0.03589363017934447,0.024719802241582066,0.13169319826338638,30.0,1.0,Y,False,True,False,True,True,False,False,True,True,False,False
LP001369,No,0.13935683364254794,0.027023783809729522,0.3125904486251809,30.0,1.0,Y,False,True,False,True,True,False,False,True,False,True,False
LP001370,,0.08884353741496599,0.0,0.1606367583212735,30.0,1.0,N,False,True,True,False,False,True,False,False,False,False,False
LP001379,No,0.04514533085961658,0.08639930880552955,0.29956584659913166,30.0,0.0,N,False,True,False,True,True,False,False,True,False,True,False
LP001384,No,0.023760049474335188,0.018095855233158136,0.12301013024602024,40.0,1.0,Y,False,True,False,True,False,True,True,False,False,False,True
LP001385,No,0.0638961038961039,0.0,0.18379160636758318,30.0,1.0,Y,False,True,True,False,True,False,False,True,False,False,False
